Country,1960,1970,1980,1990,2000,2010,2020
Kuwait,305415,802786,1493870,1674938,1934901,2943356,4360444
Latin America & Caribbean (excluding high income),194711112,255049279,323797061,396328556,468125382,528978305,588011178
Lao PDR,2122532,2675283,3297519,4314443,5430853,6323418,7319399
Lebanon,1798092,2381791,2963702,3593700,4320642,4995800,5662923
Liberia,1137026,1463563,1932169,2209731,2895224,4019956,5087584
Libya,1426986,1909177,2962720,4236983,5154790,6491988,6653942
St. Lucia,91614,103090,121633,142301,159500,170935,179237
Latin America & Caribbean,219142626,285779012,361451180,441597528,521281149,588873862,650534986
Least developed countries: UN classification,243968890,313449479,399246494,513968735,662018171,843512714,1073743450
Low income,135762574,174131565,225097677,288759638,382593480,510897321,667053670
Liechtenstein,16472,21089,25003,28765,33026,35926,38756
Sri Lanka,9783871,12388769,14943645,17204094,18776371,20668557,21919000
Lower middle income,905832820,1144754531,1446429615,1844475984,2259879800,2681991417,3117225754
Low & middle income,2243178704,2805572550,3469528886,4246144171,5017754094,5760864582,6550746999
Lesotho,737838,1023481,1407672,1798997,1998630,2022747,2254100
Late-demographic dividend,1095548725,1336152939,1593099029,1847821462,2046026051,2182768187,2317278934
Lithuania,2778550,3139689,3413202,3697838,3499536,3097282,2794885
Luxembourg,313970,339171,364150,381850,436300,506953,630419
Latvia,2120979,2359164,2511701,2663151,2367550,2097555,1900449
"Macao SAR, China",177014,247284,245332,350227,431896,557297,676283
St. Martin (French part),4135,5802,7776,28127,29610,36458,32553
Morocco,11769774,15274351,19678444,24570814,28554415,32464865,36688772
Monaco,21797,24270,27076,30329,32465,33178,36922
Moldova,2074015,2456514,2716068,2965978,2924668,2862354,2635130
Madagascar,5073342,6639751,8948162,11882762,16216431,21731053,28225177
Maldives,91650,123243,164887,224957,282507,361575,514438
Middle East & North Africa,104958259,137811201,186021685,256203998,321037453,397997557,479966649
Mexico,36268055,50289306,67705186,81720428,97873442,112532401,125998302
Marshall Islands,15374,23969,31988,46047,54224,53416,43413
Middle income,2107416130,2631440985,3244431209,3957384533,4635160614,5249967261,5883693329
North Macedonia,1462368,1656783,1907023,2044174,2026350,2055004,2072531
Mali,5346792,6153587,7372581,8945026,11239101,15529181,21224040
Malta,326550,302650,316645,354170,390087,414508,515332
Myanmar,21720697,27284112,33465781,40099553,45538332,49390988,53423198
Middle East & North Africa (excluding high income),97179656,126316235,167489905,228846359,283899110,343313330,411810124
Montenegro,480579,512407,572608,606372,604950,619428,621306
Mongolia,977903,1293880,1697780,2161433,2450979,2702520,3294335
Northern Mariana Islands,8702,10143,17613,48002,80338,54087,49587
Mozambique,6788375,8411676,11413587,13303459,17768505,23073723,31178239
Mauritania,838478,1122198,1506694,2006027,2695003,3419461,4498604
Mauritius,676683,826000,966039,1058775,1186873,1250400,1266014
Malawi,3621081,4625141,6267369,9539665,11229387,14718422,19377061
Malaysia,7833782,10306508,13215707,17517054,22945150,28717731,33199993
North America,198624756,226431000,251795337,277373464,312909974,343397156,369582571
Namibia,590181,754467,975994,1369011,1819141,2099271,2489098
New Caledonia,79000,112000,140050,170899,213230,249750,272460
